id,serial,field,old_value,new_value,changed_at,source,site
43,AME31LC000P257C0A26QG1801,swap,18.4.13·Mining,"Warehouse · For Diagnosis","2026-08-09 03:49:33.195+00","Mining Ops Admin",
44,AME31LC000MQW6C0A26QA2904,swap,"Warehouse·Ready For Deployment",18.4.13·Mining,"2026-08-09 03:49:33.195+00","Mining Ops Admin",
45,AME31LC000MKVJC2A26QA2404,swap,18.4.14·Mining,"Warehouse · For Diagnosis","2026-08-09 03:49:33.195+00","Mining Ops Admin",
46,AME31LC000P242C0A26QG1801,swap,"Warehouse·Ready For Deployment - Repaired By Psu Swap",18.4.14·Mining,"2026-08-09 03:49:33.195+00","Mining Ops Admin",
47,JYZZEABBCJFBH04TP,bulk_edit,13.13.2·Mining,13.3.2·Mining,"2026-08-09 10:31:27.962+00","Mining Ops Admin",
48,AME31LC000MKUHC2A26QA2404,bulk_edit,19.7.8·Mining,"Warehouse·For Diagnosis","2026-08-09 10:42:59.496+00","Mining Ops Admin",
49,AME31LC000P30QC0A26QG1901,bulk_edit,23.3.3·Mining,23.3.4·Mining,"2026-08-09 10:44:02.137+00","Mining Ops Admin",
50,AME31LC000MKTPC2A26QA2404,bulk_edit,23.4.16·Mining,23.4.15·Mining,"2026-08-09 10:45:07.931+00","Mining Ops Admin",
51,JYZZEAABCJFBH0WVT,add,"",11.6.10,"2026-08-09 16:21:26.182+00","Mining Ops Admin",
52,AME31LC000P1QJC0A26QG1605,add,"",24.6.16,"2026-08-09 16:22:20.261+00","Mining Ops Admin",
53,AME31LC000LCXKC2A26SU2301,bulk_edit,"Warehouse·For Diagnosis","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
54,AME31LC000LCXMC2A26SU2301,bulk_edit,"Warehouse·For Repair - Out Of Warranty","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
55,AME31LC000LCXRC2A26SU2301,bulk_edit,"Warehouse·For Repair - Out Of Warranty","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
56,AME31LC000LCXXC2A26SU2301,bulk_edit,"Warehouse·For Repair - Out Of Warranty","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
57,AME31LC000LCYJC2A26SU2301,bulk_edit,"Warehouse·For Diagnosis","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
58,AME31LC000LCZ5C2A26SU2301,bulk_edit,"Warehouse·For Repair - Out Of Warranty","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
59,AME31LC000LCZBC2A26SU2301,bulk_edit,"Warehouse·For Diagnosis","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
60,AME31LC000LDP4C2A26SU2601,bulk_edit,"Warehouse·For Repair - Out Of Warranty","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
61,AME31LC000LDPCC2A26SU2701,bulk_edit,"Warehouse·For Repair - Out Of Warranty","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
62,AME31LC000MKT2C2A26QA2404,bulk_edit,"Warehouse·For Diagnosis","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
63,AME31LC000MKTBC2A26QA2404,bulk_edit,"Warehouse·For Repair - Out Of Warranty","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
64,AME31LC000MKTEC2A26QA2404,bulk_edit,"Warehouse·For Diagnosis","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
65,AME31LC000MKV0C2A26QA2404,bulk_edit,"Warehouse·Ready For Deployment - Repaired By Avalon Tech","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
66,AME31LC000MKV9C2A26QA2404,bulk_edit,"Warehouse·For Diagnosis","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
67,AME31LC000MM82C0A26QA2604,bulk_edit,"Warehouse·For Diagnosis","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
68,AME31LC000MM8ZC0A26QA2604,bulk_edit,"Warehouse·For Diagnosis","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
69,AME31LC000MQVMC0A26QA2904,bulk_edit,"Warehouse·For Repair - Out Of Warranty","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
70,AME31LC000MQWDC0A26QA2904,bulk_edit,"Warehouse·For Diagnosis","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
71,AME31LC000MQWXC0A26QA2904,bulk_edit,"Warehouse·For Diagnosis","Warehouse·For Repair - Out Of Warranty","2026-08-09 16:24:23.762+00","Mining Ops Admin",
